scenario_id,disruption_type,severity,disrupted_port_id,disrupted_port,manufacturer_id,manufacturer,product_id,product,route,warehouse_id,warehouse,market_id,market,impact_score,delay_days
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3721,16.74
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3721,16.74
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3813,17.16
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.372,16.74
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3721,16.74
4,PORT_CLOSURE,0.95,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3721,16.74
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2252,10.13
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2169,9.76
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2171,9.77
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2171,9.77
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2252,10.13
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2169,9.76
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2171,9.77
5,SEVERE_WEATHER,0.43,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2171,9.77
6,PORT_STRIKE,0.5,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2172,9.77
6,PORT_STRIKE,0.5,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2223,10.0
6,PORT_STRIKE,0.5,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2224,10.01
6,PORT_STRIKE,0.5,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2224,10.01
6,PORT_STRIKE,0.5,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.145,6.52
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2089,9.4
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2018,9.08
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2089,9.4
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2018,9.08
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
7,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3164,14.24
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3086,13.89
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3087,13.89
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3087,13.89
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3164,14.24
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3086,13.89
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3087,13.89
8,INFRASTRUCTURE_FAILURE,0.92,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3087,13.89
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.32,14.4
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3118,14.03
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3119,14.04
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3119,14.04
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.32,14.4
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3118,14.03
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3119,14.04
9,SEVERE_WEATHER,0.87,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3119,14.04
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2089,9.4
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2018,9.08
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2089,9.4
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2018,9.08
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
10,PORT_STRIKE,0.5,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2019,9.09
11,PORT_CLOSURE,0.65,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3189,14.35
11,PORT_CLOSURE,0.65,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3256,14.65
11,PORT_CLOSURE,0.65,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3257,14.66
11,PORT_CLOSURE,0.65,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3257,14.66
11,PORT_CLOSURE,0.65,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2251,10.13
12,PORT_CLOSURE,0.52,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2872,12.92
12,PORT_CLOSURE,0.52,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2939,13.23
12,PORT_CLOSURE,0.52,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.294,13.23
12,PORT_CLOSURE,0.52,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.294,13.23
12,PORT_CLOSURE,0.52,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.1934,8.7
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2958,13.31
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2879,12.96
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2881,12.96
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2881,12.96
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2958,13.31
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2879,12.96
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2881,12.96
13,INFRASTRUCTURE_FAILURE,0.82,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2881,12.96
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3222,14.5
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.314,14.13
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3141,14.13
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.3141,14.13
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3222,14.5
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.314,14.13
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3141,14.13
14,SEVERE_WEATHER,0.88,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.3141,14.13
15,PORT_CLOSURE,0.56,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.297,13.37
15,PORT_CLOSURE,0.56,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3036,13.66
15,PORT_CLOSURE,0.56,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3038,13.67
15,PORT_CLOSURE,0.56,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3038,13.67
15,PORT_CLOSURE,0.56,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2031,9.14
16,INFRASTRUCTURE_FAILURE,0.73,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2863,12.88
16,INFRASTRUCTURE_FAILURE,0.73,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.292,13.14
16,INFRASTRUCTURE_FAILURE,0.73,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2921,13.14
16,INFRASTRUCTURE_FAILURE,0.73,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2921,13.14
16,INFRASTRUCTURE_FAILURE,0.73,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2069,9.31
17,PORT_STRIKE,0.77,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2678,12.05
17,PORT_STRIKE,0.77,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.2729,12.28
17,PORT_STRIKE,0.77,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.273,12.29
17,PORT_STRIKE,0.77,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.273,12.29
17,PORT_STRIKE,0.77,PORT003,Rotterdam Port,MAN003,Infineon Technologies,PROD003,Automotive Chip,Hamburg-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.1956,8.8
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.257,11.56
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2477,11.15
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2478,11.15
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH002,Chicago Distribution Center,MARKET002,North American Consumer Market,0.2478,11.15
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.257,11.56
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2477,11.15
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2478,11.15
18,PORT_CLOSURE,0.44,PORT005,Los Angeles Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Los Angeles Route,WH004,Los Angeles Distribution Center,MARKET002,North American Consumer Market,0.2478,11.15
19,INFRASTRUCTURE_FAILURE,0.82,PORT003,Rotterdam Port,MAN001,TSMC,PROD001,Advanced Semiconductor,Taipei-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3049,13.72
19,INFRASTRUCTURE_FAILURE,0.82,PORT003,Rotterdam Port,MAN002,Samsung Electronics,PROD002,Memory Chip,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3105,13.97
19,INFRASTRUCTURE_FAILURE,0.82,PORT003,Rotterdam Port,MAN004,Foxconn,PROD004,Smartphone,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3107,13.98
19,INFRASTRUCTURE_FAILURE,0.82,PORT003,Rotterdam Port,MAN004,Foxconn,PROD005,Laptop,Shanghai-Rotterdam Route,WH001,Amsterdam Distribution Center,MARKET001,European Consumer Market,0.3107,13.98
